Animal,Slice,Sex,Subregion,z-plane,placement order,baseline uM,baseline DA/p,Baseline Vmax (nM/s),stimulation (mA),output (uM),cycle stage
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.30,0.284,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.35,0.326,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.40,0.358,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.45,0.432,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.50,0.432,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.60,0.474,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.70,0.537,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.80,0.547,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.14,0.000,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.16,0.000,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.18,0.400,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.20,0.742,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.22,0.833,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.24,0.890,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.26,0.879,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.30,0.982,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.35,1.005,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.40,0.982,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.45,1.005,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.50,1.005,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.60,1.039,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.70,1.073,NA
RtM2,R2,Male,vmCPu,rostral,p1,1.170,911.120,1768.530,0.80,1.027,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.14,0.000,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.16,0.000,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.18,0.000,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.20,0.391,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.22,0.412,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.24,0.539,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.26,0.581,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.30,0.708,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.35,0.877,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.40,0.951,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.45,1.004,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.50,1.057,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.60,1.089,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.70,1.089,NA
RtM2,R2,Male,core,rostral,p2,1.310,995.870,2161.540,0.80,1.152,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.14,0.000,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.16,0.000,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.18,0.000,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.20,0.085,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.22,0.138,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.24,0.191,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.26,0.233,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.30,0.286,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.35,0.329,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.40,0.371,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.45,0.371,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.50,0.403,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.60,0.424,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.70,0.424,NA
RtM2,R2,Male,lshell,rostral,p4,0.550,466.150,1375.520,0.80,0.424,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.14,0.000,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.16,0.000,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.18,0.000,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.20,0.000,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.22,0.000,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.24,0.000,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.26,0.000,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.30,0.000,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.35,0.056,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.40,0.034,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.45,0.045,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.50,0.045,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.60,0.078,NA
RtM2,R2,Male,mshell,rostral,p5,0.090,84.760,393.010,0.70,0.078,NA
